OBJECTID,GEO_ID_TRT,TRACT_LBL,E02001001,M02001001,E02001002,M02001002,E02001003,M02001003,E02001004,M02001004,E02001005,M02001005,E02001006,M02001006,E02001007,M02001007,E02001008,M02001008,E02001009,M02001009,E02001010,M02001010
203,53033024500,Tract 024500,5195,259,3835,261,27,31,8,13,983,145,0,17,51,64,291,123,9,14,282,121
204,53033024601,Tract 024601,4573,219,3543,210,28,43,1,3,811,124,0,12,1,3,189,97,0,12,189,97
205,53033024602,Tract 024602,3871,197,3147,222,54,54,0,12,601,196,0,12,0,12,69,47,0,12,69,47
206,53033024701,Tract 024701,4068,455,2029,389,304,279,10,16,1410,295,13,20,67,112,235,135,39,45,196,131
207,53033024702,Tract 024702,7732,430,4732,520,363,218,0,17,2221,328,0,17,115,152,301,166,17,28,284,163
208,53033024800,Tract 024800,5990,432,2501,471,377,312,110,105,1758,351,0,17,578,485,666,307,15,28,651,308
209,53033024901,Tract 024901,5428,274,2414,208,17,16,9,16,2817,280,0,17,0,17,171,91,0,17,171,91
210,53033024902,Tract 024902,4065,238,2186,209,109,76,0,12,1384,183,0,12,62,47,324,127,32,37,292,115
211,53033024903,Tract 024903,7114,358,3609,398,4,10,0,17,3161,411,0,17,83,89,257,154,17,27,240,153
212,53033025001,Tract 025001,5127,265,3231,285,119,96,21,25,1475,229,0,17,128,96,153,79,63,59,90,55
213,53033025003,Tract 025003,6863,534,4317,485,127,108,0,17,2210,404,24,28,95,110,90,73,0,17,90,73
214,53033025005,Tract 025005,5133,317,2837,235,68,57,0,17,1822,209,0,17,64,49,342,121,23,36,319,123
215,53033025006,Tract 025006,6164,471,4009,479,25,41,0,17,1770,315,0,17,0,17,360,200,0,17,360,200
216,53033025101,Tract 025101,6675,579,3910,418,357,230,13,20,1588,590,13,20,459,419,335,214,0,17,335,214
217,53033025102,Tract 025102,7878,378,3700,490,431,252,0,17,2627,421,28,45,130,116,962,299,228,157,734,252
218,53033025200,Tract 025200,8985,424,5519,446,586,150,42,41,1911,301,51,60,487,329,389,183,70,116,319,133
219,53033025301,Tract 025301,6330,443,3727,455,311,215,27,47,1126,288,0,17,502,414,637,203,12,20,625,201
220,53033025302,Tract 025302,5583,605,2471,417,992,321,12,19,669,224,400,525,656,356,383,235,19,29,364,235
221,53033025400,Tract 025400,7445,533,3625,566,821,473,74,110,1055,447,0,17,1412,532,458,262,49,79,409,253
222,53033025500,Tract 025500,4794,284,2692,333,288,205,29,37,1002,167,0,12,701,219,82,69,30,47,52,45
223,53033025601,Tract 025601,5644,419,2141,406,341,334,13,22,1589,231,233,340,798,402,529,187,203,138,326,137
224,53033025602,Tract 025602,6356,356,3707,338,155,163,6,14,1978,303,0,17,162,153,348,175,103,137,245,157
225,53033025701,Tract 025701,6215,427,3269,376,898,242,108,153,1077,316,193,147,271,239,399,172,0,17,399,172
226,53033025702,Tract 025702,3577,182,2201,189,356,127,0,12,700,113,61,100,58,46,201,102,21,23,180,97
227,53033025803,Tract 025803,4755,431,2276,419,581,201,18,18,483,183,39,56,786,389,572,300,73,67,499,286
228,53033025804,Tract 025804,3614,317,2071,258,229,146,0,12,547,131,12,23,406,200,349,159,4,8,345,158
229,53033025805,Tract 025805,5197,386,2024,490,565,295,37,45,1364,415,119,147,610,226,478,274,147,108,331,224
230,53033025806,Tract 025806,5329,428,1758,219,826,192,44,38,1869,401,236,272,16,21,580,331,47,71,533,318
231,53033026001,Tract 026001,5704,415,2149,310,1211,267,20,33,1698,401,0,17,369,169,257,132,77,100,180,91
232,53033026002,Tract 026002,8529,844,2567,469,2738,644,2,4,2292,672,4,10,40,44,886,445,56,60,830,445
233,53033026100,Tract 026100,8327,808,1947,338,2186,601,60,58,2850,531,98,148,758,590,428,233,10,19,418,231
234,53033026200,Tract 026200,5743,534,2526,440,736,253,124,112,1097,417,24,41,398,305,838,408,11,19,827,405
235,53033026300,Tract 026300,1616,146,467,92,71,68,0,12,596,173,226,138,32,42,224,130,19,15,205,125
236,53033026400,Tract 026400,6198,658,2850,544,931,324,54,47,725,335,261,293,1136,526,241,165,34,54,207,143
237,53033026500,Tract 026500,4392,520,1586,245,938,315,0,12,869,403,107,119,303,157,589,432,139,205,450,379
238,53033026600,Tract 026600,2538,215,1567,232,232,146,32,41,398,111,7,12,47,46,255,131,16,19,239,132
239,53033026700,Tract 026700,5291,438,3371,483,197,226,162,148,397,229,351,358,450,463,363,197,6,10,357,195
240,53033026801,Tract 026801,5883,606,2784,578,586,467,90,79,474,288,301,390,1022,461,626,285,221,156,405,237
241,53033026802,Tract 026802,5562,480,2264,393,573,264,19,25,1256,307,259,268,949,439,242,146,50,43,192,129
242,53033027000,Tract 027000,3147,232,1907,293,157,104,64,87,494,218,39,47,362,258,124,79,56,64,68,60
243,53033027100,Tract 027100,3885,356,2206,406,641,239,6,14,593,213,37,55,280,209,122,91,35,49,87,83
244,53033027200,Tract 027200,2607,244,1026,193,430,239,5,8,462,175,7,8,515,279,162,80,0,12,162,80
245,53033027300,Tract 027300,5786,404,2425,512,683,265,84,71,1863,527,0,17,373,281,358,159,40,36,318,164
246,53033027400,Tract 027400,5224,343,2651,306,228,107,0,17,1274,295,20,25,548,185,503,191,116,123,387,164
247,53033027500,Tract 027500,4852,298,2728,440,209,108,31,37,565,254,8,11,891,502,420,244,52,66,368,234
248,53033027600,Tract 027600,4757,385,3014,459,301,254,86,64,320,143,0,12,927,334,109,103,9,13,100,103
249,53033027701,Tract 027701,5008,378,4819,378,2,4,0,17,67,68,0,17,40,53,80,76,20,31,60,67
250,53033027702,Tract 027702,5028,392,4862,379,13,23,52,82,82,63,0,17,18,26,1,2,0,17,1,2
251,53033027800,Tract 027800,3403,230,3176,247,11,16,0,12,88,45,0,12,40,52,88,88,0,12,88,88
252,53033027900,Tract 027900,7955,669,5183,660,726,478,52,45,735,401,0,17,400,361,859,273,59,57,800,282
253,53033028000,Tract 028000,4554,359,1563,265,773,347,53,54,746,214,169,194,981,334,269,158,42,42,227,148
254,53033028100,Tract 028100,2649,243,647,83,940,186,90,46,564,173,62,66,119,89,227,145,85,99,142,106
255,53033028200,Tract 028200,4929,379,1843,419,1282,467,8,12,713,281,105,212,529,324,449,174,19,29,430,172
256,53033028300,Tract 028300,5241,318,2393,252,656,241,32,39,1463,239,0,17,286,145,411,215,143,179,268,134
257,53033028402,Tract 028402,5254,471,1656,329,1643,349,0,17,925,363,176,219,355,180,499,279,57,87,442,263
258,53033028403,Tract 028403,5379,511,2005,440,1354,638,75,73,494,416,474,391,590,429,387,202,18,30,369,193
259,53033028500,Tract 028500,4263,342,2324,296,483,196,6,11,515,165,0,12,431,273,504,194,142,167,362,142
260,53033028600,Tract 028600,6556,255,5516,292,77,85,0,17,606,189,0,17,198,270,159,156,0,17,159,156
261,53033028700,Tract 028700,5205,298,4017,292,143,83,13,15,406,233,161,147,115,72,350,172,70,65,280,155
262,53033028801,Tract 028801,3260,347,2107,307,201,105,57,65,278,140,142,134,246,158,229,125,49,56,180,117
263,53033028802,Tract 028802,6631,580,2646,377,1953,595,18,32,893,259,330,332,470,380,321,159,60,83,261,147
264,53033028901,Tract 028901,3304,241,2511,278,107,92,21,27,117,85,111,66,144,149,293,190,8,18,285,189
265,53033028902,Tract 028902,7525,771,2177,313,966,499,13,23,935,740,518,352,2461,821,455,261,20,37,435,256
266,53033029001,Tract 029001,4574,356,3193,284,211,213,0,12,481,157,42,64,273,229,374,183,0,12,374,183
267,53033029003,Tract 029003,5493,489,2693,413,500,227,43,63,1264,518,0,17,531,274,462,190,151,114,311,174
268,53033029004,Tract 029004,4078,368,1899,422,646,245,74,107,292,208,96,122,942,399,129,88,70,67,59,69
269,53033029101,Tract 029101,3096,355,1340,269,649,291,8,13,650,221,8,13,154,215,287,145,0,12,287,145
270,53033029102,Tract 029102,4324,487,2273,401,604,197,39,88,349,307,424,312,304,220,331,191,50,46,281,191
271,53033029203,Tract 029203,4244,435,1945,327,506,167,326,268,380,139,134,133,472,278,481,192,44,52,437,180
272,53033029204,Tract 029204,7360,666,3086,483,853,351,411,368,1328,278,0,17,1166,622,516,269,111,77,405,262
273,53033029205,Tract 029205,4659,360,2213,341,543,242,96,206,787,352,51,80,744,280,225,132,6,19,219,131
274,53033029206,Tract 029206,4409,330,1869,318,681,264,26,24,331,154,409,243,740,299,353,131,7,12,346,129
275,53033029303,Tract 029303,7473,416,3416,300,855,294,52,54,1875,398,356,353,262,180,657,238,131,104,526,230
276,53033029304,Tract 029304,5237,311,2926,331,397,285,40,40,1317,240,46,70,240,240,271,157,0,17,271,157
277,53033029305,Tract 029305,4256,392,2042,292,535,216,0,12,1094,303,221,256,250,236,114,128,0,12,114,128
278,53033029306,Tract 029306,3651,280,1954,247,136,116,68,88,1221,209,83,137,53,69,136,100,0,12,136,100
279,53033029307,Tract 029307,4244,372,2778,279,82,65,119,156,1037,269,11,16,30,80,187,137,0,12,187,137
280,53033029403,Tract 029403,5876,350,2258,313,841,434,105,130,1924,298,32,52,561,234,155,81,12,19,143,80
281,53033029405,Tract 029405,5690,371,3345,332,369,147,5,11,1372,253,0,17,200,139,399,228,120,170,279,158
282,53033029406,Tract 029406,5174,313,2264,217,492,228,64,62,1965,310,0,17,152,75,237,128,47,50,190,120
283,53033029407,Tract 029407,4639,377,2251,375,508,203,0,12,1046,278,43,64,481,235,310,153,39,43,271,146
284,53033029408,Tract 029408,3993,366,1493,288,395,161,0,12,764,129,78,95,799,246,464,313,39,42,425,307
285,53033029502,Tract 029502,7516,598,3780,312,882,389,70,91,2274,666,0,17,109,118,401,178,32,38,369,173
286,53033029503,Tract 029503,8828,686,3644,640,1755,560,74,115,2029,623,38,43,796,485,492,230,86,75,406,200
287,53033029504,Tract 029504,6103,717,2341,484,1190,318,5,10,1082,324,0,17,734,443,751,354,76,83,675,353
288,53033029601,Tract 029601,7134,531,3026,645,1442,655,94,106,1772,436,0,17,136,122,664,344,51,57,613,335
289,53033029602,Tract 029602,6235,418,4195,338,241,82,6,9,1282,252,10,19,50,36,451,148,44,53,407,163
290,53033029700,Tract 029700,8219,998,4709,802,820,530,102,120,863,530,0,17,1364,820,361,216,0,17,361,216
291,53033029801,Tract 029801,9944,767,5430,593,863,292,24,43,1001,355,541,402,1068,556,1017,524,150,106,867,511
292,53033029802,Tract 029802,9213,861,5332,1045,521,404,125,100,1349,493,172,179,1145,677,569,291,0,17,569,291
293,53033029901,Tract 029901,4725,342,3355,303,388,243,21,25,646,170,34,60,57,57,224,129,0,12,224,129
294,53033029902,Tract 029902,4226,296,2802,341,282,217,11,18,552,112,55,58,115,73,409,209,0,12,409,209
295,53033030003,Tract 030003,6309,629,3292,523,812,270,13,21,568,169,78,158,1036,511,510,387,19,29,491,387
296,53033030004,Tract 030004,8736,855,2976,598,1766,664,0,17,953,421,726,601,1846,954,469,285,23,37,446,290
297,53033030005,Tract 030005,5923,340,2418,390,635,184,10,16,806,186,20,20,1567,487,467,179,121,75,346,153
298,53033030006,Tract 030006,4000,279,1721,352,742,360,82,81,540,204,254,260,493,232,168,89,33,41,135,73
299,53033030100,Tract 030100,7711,513,5918,576,544,393,203,170,373,212,89,129,267,248,317,202,90,145,227,144
300,53033030201,Tract 030201,5391,642,3209,356,446,180,66,71,597,200,0,17,593,450,480,274,16,27,464,267
